tri_id,i0_ok,i1_ok,i2_ok,i0_id,i1_id,i2_id
702,1,0,0,325,379,380
703,1,0,1,325,380,326
704,1,0,0,326,380,381
705,1,0,1,326,381,327
706,1,0,0,327,381,382
707,1,0,1,327,382,328
708,1,0,0,328,382,383
709,1,0,1,328,383,329
710,1,0,0,329,383,384
711,1,0,1,329,384,330
712,1,0,1,330,384,385
798,1,1,0,373,427,428
799,1,0,1,373,428,374
800,1,0,0,374,428,429
801,1,0,1,374,429,375
802,1,0,0,375,429,430
803,1,0,1,375,430,376
804,1,0,0,376,430,431
805,1,0,1,376,431,377
806,1,0,0,377,431,432
807,1,0,1,377,432,378
808,1,0,0,378,432,379
809,1,0,1,378,379,325
810,0,0,0,379,433,434
811,0,0,0,379,434,380
812,0,0,0,380,434,435
813,0,0,0,380,435,381
814,0,0,0,381,435,436
815,0,0,0,381,436,382
816,0,0,0,382,436,437
817,0,0,0,382,437,383
818,0,0,0,383,437,438
819,0,0,0,383,438,384
820,0,0,0,384,438,439
821,0,0,1,384,439,385
822,1,0,0,385,439,440
823,1,0,1,385,440,386
824,1,0,0,386,440,441
825,1,0,1,386,441,387
826,1,0,0,387,441,442
827,1,0,1,387,442,388
828,1,0,0,388,442,443
829,1,0,1,388,443,389
830,1,0,1,389,443,444
896,1,1,0,422,476,477
897,1,0,1,422,477,423
898,1,0,0,423,477,478
899,1,0,1,423,478,424
900,1,0,0,424,478,479
901,1,0,1,424,479,425
902,1,0,0,425,479,480
903,1,0,1,425,480,426
904,1,0,0,426,480,481
905,1,0,1,426,481,427
906,1,0,0,427,481,482
907,1,0,0,427,482,428
908,0,0,0,428,482,483
909,0,0,0,428,483,429
910,0,0,0,429,483,484
911,0,0,0,429,484,430
912,0,0,0,430,484,485
913,0,0,0,430,485,431
914,0,0,0,431,485,486
915,0,0,0,431,486,432
916,0,0,0,432,486,433
917,0,0,0,432,433,379
