tri_id,valid,p0x_m,p0y_m,p1x_m,p1y_m,p2x_m,p2y_m,foot_area_m2,att,Ponplane_W,I_Wm2,status_code,status_label
0,1,0.001530941402863169,3.1139772190887e-07,0.00215890828612765,3.244832464514412e-07,0.002154663717849785,7.307596957405391e-05,2.284278983220272e-08,0.6707920907417221,0.000149785529875225,6557.234513626009,0,ok
1,1,0.001530869193570411,9.299848428442125e-07,0.002154588491157268,7.372040550971613e-05,0.002141912237514811,0.0001454874721952958,2.284260712905666e-08,0.6708737436212094,0.0001498039125985816,6558.091716598555,0,ok
2,1,0.001530725750205154,1.536003754883087e-06,0.002141762900790216,0.000146118389346497,0.002120826535696733,0.0002159299527331605,2.284224419025403e-08,0.671035974178904,0.0001498404360334537,6559.794860147114,0,ok
3,1,0.00153051301008898,2.121264091721601e-06,0.002120605301809869,0.0002165385799233417,0.00209169219361244,0.0002834500467177505,2.284170591758047e-08,0.6712766450048641,0.0001498946190778384,6562.321554208859,0,ok
4,1,0.001530233846580588,2.677855498153938e-06,0.00209140233130462,0.0002840279692066555,0.002054903797785208,0.0003471340301677887,2.284099958117083e-08,0.671592582371478,0.0001499657473618939,6565.638549615815,0,ok
5,1,0.001529892030411596,3.198254373143514e-06,0.002054549572550171,0.0003476733212561813,0.002010959571910444,0.0004061202101211904,2.284013472168178e-08,0.6719796148314467,0.0001500528819281789,6569.702138654029,0,ok
6,1,0.001529492178934791,3.675425433450929e-06,0.002010546169695825,0.0004066135522357666,0.001960454600242372,0.0004596106032305324,2.283912302188019e-08,0.6724326242287285,0.0001501548707041344,6574.458684787677,0,ok
7,1,0.001529039693958297,4.102916734095225e-06,0.001959988036005143,0.0004600513961031548,0.001904072736242854,0.0005068817431066298,2.283797814935354e-08,0.6729456087180423,0.0001502703626764099,6579.845277619877,0,ok
8,1,0.001528540688991409,4.474946867105628e-06,0.001903559749742304,0.0005072641970874433,0.001842577308275323,0.0005472944693968219,2.283671557242731e-08,0.6735117572689294,0.0001503978246498003,6585.790507956771,0,ok
9,1,0.001528001906870124,4.786483162198614e-06,0.001842025249743772,0.0005476136824196737,0.001776800750530225,0.0005803025659226974,2.283535235174381e-08,0.674123535000844,0.0001505355604444917,6592.215356510414,0,ok
10,1,0.001527430628860173,5.033309830985205e-06,0.001776217459016206,0.0005805545831521882,0.001707633301903786,0.0006054601313504705,2.283390691027527e-08,0.6747727785565872,0.0001506817323539538,6599.034188325739,0,ok
11,1,0.001526834576451199,5.212085128565756e-06,0.00170702697913206,0.0006056419870603262,0.001636010928022865,0.0006224275835761455,2.283239878484582e-08,0.6754508005739269,0.0001508343846526471,6606.155843456884,0,ok
12,1,0.001526221807156165,5.320386751450269e-06,0.0016353900105624,0.0006225373253161293,0.001562902631853701,0.000630976218007045,2.283084836248352e-08,0.6761485021619035,0.0001509914689080683,6613.48481277564,0,ok
13,1,0.001525600605713206,5.356744846776322e-06,0.001562275664234963,0.0006310129135889803,0.001489297326226354,0.0006309912599260328,2.28292766051418e-08,0.6768564921325565,0.0001511508708165185,6620.922486106067,0,ok
14,1,0.001524979372152352,5.320662172890442e-06,0.001488672837414832,0.0006309549881797018,0.00141619044706367,0.0006224733718401159,2.282770476648772e-08,0.6775652115850557,0.0001513104382472182,6628.368458196897,0,ok
15,1,0.001524366508235097,5.212621123410063e-06,0.001415576832391755,0.0006223651984409913,0.001344570489074028,0.0006055385978419972,2.282615410457085e-08,0.6782650622927194,0.0001514680101461973,6635.72187641835,0,ok
16,1,0.001523770303800695,5.034077503625366e-06,0.001343975899377154,0.0006053605377829956,0.001275405646140657,0.00058041674825311,2.282464559425916e-08,0.6789465372099487,0.0001516214459212193,6642.882812574978,0,ok
17,1,0.001523198824557823,4.787441127217202e-06,0.001274837885454925,0.0005801717167144453,0.001209630736640298,0.0005474482488768534,2.282319964333031e-08,0.6796003513018574,0.0001517686549030129,6649.753639926851,0,ok
18,1,0.001522659802844645,4.476043480374507e-06,0.001209097169419774,0.0005471400023390216,0.001148134589510301,0.000507079499787959,2.282183581607323e-08,0.6802175708104699,0.0001519076254578991,6656.24039547738,0,ok
19,1,0.001522160532843342,4.104092876920466e-06,0.001147642057932383,0.0005067125692350543,0.001091748060144549,0.0004598568084483909,2.282057256816085e-08,0.6807897390136375,0.000152036453313714,6662.254106885753,0,ok
20,1,0.001521707771677977,3.676617699671077e-06,0.001091302811711525,0.0004594364264293776,0.001041232836254552,0.0004064189808190305,2.281942699640824e-08,0.681308996511478,0.0001521533686559536,6667.712063054975,0,ok
21,1,0.00152130764774727,3.199398487378846e-06,0.001040840461585232,0.0004059510039842407,0.0009972711828260582,0.0003474886717957484,2.281841460683633e-08,0.6817681940943732,0.0001522567615552484,6672.539007579989,0,ok
22,1,0.001520965577547394,2.67888978090012e-06,0.0009969365632769018,0.0003469795003193754,0.0009604567624001194,0.0002838626125258947,2.281754910421858e-08,0.6821609963093109,0.0001523452053013598,6676.668234854101,0,ok
23,1,0.001520686192126024,2.122132784516092e-06,0.0009601840269709751,0.0002833191075799553,0.0009312866522965609,0.0002164008467671096,2.281684220599295e-08,0.6824819739490474,0.0001524174772429922,6680.042569736446,0,ok
24,1,0.001520473274178162,1.536660026259582e-06,0.0009310791431664402,0.0002158302469468745,0.0009101546642779677,0.0001460151212683768,2.281630348310384e-08,0.6827266838409337,0.0001524725767671589,6682.615213286827,0,ok
25,1,0.001520329706649471,9.30393313029686e-07,0.0009100149102827355,0.0001454249586033026,0.0008973460547388106,7.365658604192357e-05,2.281594022995737e-08,0.6828917345072651,0.0001525097400956662,6684.350439146956,0,ok
26,1,0.001520257433555215,3.115363701583302e-07,0.000897275752140633,7.305460197811558e-05,0.0008930336950213562,3.029692361752533e-07,2.28157573652852e-08,0.6829748365028679,0.0001525284516291144,6685.224127654455,0,ok
27,1,0.001520257433555215,-3.11536370158329e-07,0.0008930336950213562,-3.029692361750988e-07,0.000897275752140633,-7.305460197811571e-05,2.281575736528529e-08,0.6829748365028679,0.000152528451629115,6685.224127654452,0,ok
28,1,0.001520329706649471,-9.303933130297401e-07,0.0008973460547388106,-7.365658604192374e-05,0.0009100149102827354,-0.0001454249586033025,2.281594022995727e-08,0.6828917345072653,0.0001525097400956656,6684.350439146955,0,ok
29,1,0.001520473274178162,-1.536660026259585e-06,0.0009101546642779676,-0.0001460151212683767,0.00093107914316644,-0.0002158302469468741,2.281630348310377e-08,0.6827266838409338,0.0001524725767671585,6682.61521328683,0,ok
30,1,0.001520686192126026,-2.122132784516277e-06,0.0009312866522965626,-0.0002164008467671093,0.0009601840269709769,-0.0002833191075799554,2.281684220599305e-08,0.6824819739490474,0.0001524174772429926,6680.042569736438,0,ok
31,1,0.001520965577547394,-2.678889780900152e-06,0.0009604567624001193,-0.0002838626125258945,0.0009969365632769016,-0.0003469795003193753,2.281754910421855e-08,0.6821609963093109,0.0001523452053013597,6676.668234854101,0,ok
32,1,0.001521307647747271,-3.199398487378937e-06,0.0009972711828260593,-0.0003474886717957483,0.001040840461585233,-0.0004059510039842408,2.281841460683643e-08,0.6817681940943732,0.0001522567615552494,6672.539007580002,0,ok
33,1,0.001521707771677978,-3.676617699671235e-06,0.001041232836254552,-0.0004064189808190307,0.001091302811711526,-0.0004594364264293776,2.281942699640813e-08,0.681308996511478,0.0001521533686559526,6667.712063054964,0,ok
34,1,0.001522160532843339,-4.104092876919793e-06,0.001091748060144546,-0.0004598568084483902,0.001147642057932379,-0.0005067125692350533,2.282057256816085e-08,0.6807897390136375,0.0001520364533137141,6662.25410688576,0,ok
35,1,0.001522659802844644,-4.476043480374331e-06,0.001148134589510299,-0.0005070794997879586,0.001209097169419773,-0.0005471400023390211,2.282183581607318e-08,0.6802175708104699,0.0001519076254578983,6656.24039547736,0,ok
36,1,0.001523198824557822,-4.78744112721706e-06,0.001209630736640296,-0.0005474482488768531,0.001274837885454924,-0.0005801717167144452,2.282319964333047e-08,0.6796003513018574,0.000151768654903014,6649.75363992685,0,ok
37,1,0.001523770303800694,-5.034077503625128e-06,0.001275405646140656,-0.0005804167482531098,0.001343975899377152,-0.0006053605377829952,2.2824645594259e-08,0.6789465372099488,0.0001516214459212188,6642.882812575001,0,ok
38,1,0.001524366508235097,-5.212621123410004e-06,0.001344570489074028,-0.000605538597841997,0.001415576832391754,-0.0006223651984409912,2.282615410457095e-08,0.6782650622927194,0.0001514680101461978,6635.721876418341,0,ok
39,1,0.00152497937215235,-5.320662172889929e-06,0.001416190447063668,-0.0006224733718401154,0.001488672837414829,-0.0006309549881797012,2.282770476648756e-08,0.6775652115850557,0.0001513104382472173,6628.368458196906,0,ok
40,1,0.001525600605713206,-5.356744846776346e-06,0.001489297326226354,-0.0006309912599260328,0.001562275664234963,-0.0006310129135889804,2.282927660514185e-08,0.6768564921325565,0.0001511508708165185,6620.922486106049,0,ok
41,1,0.001526221807156165,-5.320386751450452e-06,0.001562902631853701,-0.0006309762180070452,0.001635390010562401,-0.0006225373253161294,2.283084836248373e-08,0.6761485021619035,0.0001509914689080696,6613.484812775632,0,ok
42,1,0.001526834576451199,-5.212085128565765e-06,0.001636010928022866,-0.0006224275835761455,0.00170702697913206,-0.0006056419870603262,2.28323987848456e-08,0.6754508005739269,0.0001508343846526466,6606.155843456928,0,ok
43,1,0.001527430628860174,-5.033309830985221e-06,0.001707633301903786,-0.0006054601313504706,0.001776217459016207,-0.0005805545831521883,2.283390691027537e-08,0.6747727785565872,0.0001506817323539533,6599.034188325683,0,ok
44,1,0.001528001906870124,-4.786483162198638e-06,0.001776800750530225,-0.0005803025659226975,0.001842025249743772,-0.0005476136824196737,2.283535235174402e-08,0.674123535000844,0.0001505355604444922,6592.215356510372,0,ok
45,1,0.001528540688991407,-4.474946867105394e-06,0.001842577308275322,-0.0005472944693968217,0.001903559749742302,-0.0005072641970874433,2.28367155724271e-08,0.6735117572689294,0.0001503978246497999,6585.790507956812,0,ok
46,1,0.001529039693958297,-4.10291673409524e-06,0.001904072736242853,-0.00050688174310663,0.001959988036005143,-0.0004600513961031547,2.283797814935349e-08,0.6729456087180423,0.0001502703626764106,6579.845277619925,0,ok
47,1,0.001529492178934791,-3.675425433450928e-06,0.001960454600242372,-0.0004596106032305323,0.002010546169695824,-0.0004066135522357668,2.283912302188003e-08,0.6724326242287285,0.0001501548707041341,6574.458684787708,0,ok
48,1,0.001529892030411594,-3.198254373143145e-06,0.002010959571910442,-0.0004061202101211902,0.002054549572550168,-0.0003476733212561813,2.284013472168157e-08,0.6719796148314467,0.000150052881928178,6569.702138654047,0,ok
49,1,0.001530233846580591,-2.677855498154138e-06,0.00205490379778521,-0.0003471340301677894,0.002091402331304623,-0.0002840279692066559,2.284099958117105e-08,0.6715925823714779,0.0001499657473618942,6565.638549615766,0,ok
50,1,0.00153051301008898,-2.121264091719957e-06,0.00209169219361244,-0.000283450046717749,0.00212060530180987,-0.0002165385799233404,2.284170591758047e-08,0.6712766450048641,0.0001498946190778382,6562.321554208852,0,ok
51,1,0.001530725750205153,-1.536003754885166e-06,0.002120826535696731,-0.0002159299527331631,0.002141762900790215,-0.0001461183893464988,2.284224419025429e-08,0.671035974178904,0.0001498404360334555,6559.794860147121,0,ok
52,1,0.00153086919357041,-9.29984842843982e-07,0.00214191223751481,-0.0001454874721952952,0.002154588491157267,-7.372040550971576e-05,2.284260712905655e-08,0.6708737436212096,0.0001498039125985809,6558.091716598556,0,ok
53,1,0.00153094140286317,-3.113977219088834e-07,0.002154663717849787,-7.30759695740538e-05,0.002158908286127651,-3.24483246451455e-07,2.284278983220267e-08,0.6707920907417222,0.0001497855298752248,6557.234513626016,0,ok
54,1,0.002170023260400457,9.728360573032592e-07,0.002799042625126247,1.025625940150494e-06,0.002790548474353587,0.0001465283061087008,4.576222592537271e-08,0.657416889767426,0.0002935360591843007,6414.37459058456,0,ok
55,1,0.002170023260400457,9.728360573043151e-07,0.002790548474353587,0.0001465283061087019,0.002165776185014127,7.372417614157947e-05,2.288111296268639e-08,0.6622689489587668,0.000147851249658537,6461.715822112626,0,ok
56,1,0.002165550745493238,7.565628257129043e-05,0.002790310849706026,0.0001485648439242507,0.002764943570001501,0.0002920963685629915,4.576113107990751e-08,0.6575972969103869,0.0002936174941811891,6416.307622914258,0,ok
57,1,0.002165550745493239,7.565628257128948e-05,0.002764943570001503,0.0002920963685629904,0.002152867105640977,0.0001474220448906598,2.288056553995374e-08,0.662470565412725,0.0001478967053994649,6463.857072991033,0,ok
58,1,0.002152419565012723,0.0001493136715732685,0.002764472125002979,0.0002940890322057739,0.002722575660343975,0.0004337050424616727,4.575895613649153e-08,0.6579758433561691,0.000293788271071705,6420.344690455402,0,ok
59,1,0.002152419565012723,0.0001493136715732686,0.002722575660343975,0.0004337050424616727,0.002131471332683221,0.0002191216767012179,2.287947806824573e-08,0.6628308968901617,0.0001479780338264316,6467.71894817869,0,ok
60,1,0.002130808307058079,0.0002209465567420763,0.002721877920390877,0.0004356254685596,0.002664020286691829,0.0005694348290152866,4.575573039385018e-08,0.6585477395735791,0.0002940462304875476,6426.435070678469,0,ok
61,1,0.002130808307058078,0.000220946556742077,0.002664020286691828,0.0005694348290152873,0.002101879490208554,0.0002878512369699203,2.287786519692498e-08,0.6633453186445127,0.0001480941917629846,6473.252223852161,0,ok
62,1,0.002101010753615398,0.0002895841663976265,0.002663107334711294,0.0005712559579577218,0.00259007286097244,0.0006974464489613104,4.57514973118008e-08,0.6593057336325128,0.0002943881033825869,6434.502053043293,0,ok
63,1,0.002101010753615398,0.0002895841663976265,0.00259007286097244,0.0006974464489613104,0.00206449351674597,0.0003526794118994209,2.287574865590042e-08,0.6640072148063823,0.0001482436862199049,6480.386213793615,0,ok
64,1,0.002063431825534065,0.0003542966424443697,0.002588959099001815,0.0006991429967508158,0.002501737718117753,0.0008160059185243024,4.574631393226909e-08,0.6602401839138364,0.0002948095436988246,6444.443679884516,0,ok
65,1,0.002063431825534065,0.000354296642444369,0.002501737718117753,0.0008160059185243016,0.002019821135092033,0.0004127281033311122,2.287315696613463e-08,0.6648080498190475,0.0001484245904669423,6489.029506801167,0,ok
66,1,0.002018582001214117,0.0004142077041239463,0.002500440561999234,0.0008175548013815909,0.002400214301558407,0.0009235081519594595,4.574025011880446e-08,0.66133915738866,0.0002953051725272582,6456.133750039423,0,ok
67,1,0.002018582001214116,0.0004142077041239467,0.002400214301558405,0.0009235081519594598,0.001968468870993703,0.000467184379412881,2.287012505940218e-08,0.6657374618442167,0.000148634565057387,6499.070935175389,0,ok
68,1,0.001967070290141484,0.0004685065605288929,0.00239875381880174,0.0009248888534884855,0.002286880681127132,0.001018498763232976,4.573338762429571e-08,0.6625885537828308,0.0002958686339147316,6469.423090747652,0,ok
69,1,0.001967070290141482,0.000468506560528893,0.00228688068112713,0.001018498763232976,0.001911133721304178,0.0005153115154011383,2.28666938121478e-08,0.6667833780174005,0.0001488708837820633,6510.380774984465,0,ok
70,1,0.001909595862903044,0.0005164589074184753,0.002285279183628369,0.001019693636209908,0.002163274640318064,0.001099693766839997,4.57258189988276e-08,0.6639722558658595,0.0002964926624347925,6484.141102915938,0,ok
71,1,0.001909595862903044,0.0005164589074184753,0.002163274640318065,0.001099693766839997,0.001848593591247892,0.0005564589727335195,2.286290949941385e-08,0.6679321512914556,0.0001491304644980611,6522.812177596402,0,ok
72,1,0.001846938458080872,0.0005574168578726914,0.002161556244737561,0.001100688264214941,0.002031072603536445,0.001165996909545574,4.571764635172916e-08,0.6654723059306245,0.0002971691625635758,6500.097583268001,0,ok
73,1,0.001846938458080873,0.0005574168578726914,0.002031072603536445,0.001165996909545575,0.001781696637480315,0.0005900711805380084,2.285882317586463e-08,0.6691687184048631,0.0001494099047322679,6536.202829987396,0,ok
74,1,0.001779947703178438,0.0005908276724459751,0.002029262772691811,0.001166779741918,0.001892066703204893,0.001216514400346088,4.57089799838203e-08,0.6670691082527096,0.0002978892997771235,6517.08482408857,0,ok
75,1,0.001779947703178438,0.0005908276724459745,0.001892066703204894,0.001216514400346087,0.001711349668434979,0.0006156950016600186,2.28544899919102e-08,0.6704767782452621,0.0001497055218997181,6550.376838542858,0,ok
76,1,0.001709531501232266,0.0006162411724289355,0.001890191781809802,0.00121707761986654,0.001748140310969941,0.001250566844522133,4.569993690765639e-08,0.6687416569336542,0.0002986436031130202,6534.879987175355,0,ok
77,1,0.001709531501232266,0.000616241172428936,0.00174814031096994,0.001250566844522134,0.001638505765812335,0.0006329857847567324,2.28499684538282e-08,0.671838989549947,0.0001500133979024071,6565.14682746857,0,ok
78,1,0.001636643646823551,0.0006333157392603008,0.001746227068461792,0.00125090585775694,0.001601242376486178,0.001267698228585826,4.569063927513289e-08,0.6704677880447258,0.000299422078718562,6553.247743275115,0,ok
79,1,0.001636643646823553,0.0006333157392603012,0.00160124237648618,0.001267698228585827,0.001564151300835746,0.0006417119246747442,2.284531963756645e-08,0.6732371864991139,0.0001503294277865843,6580.316238578042,0,ok
80,1,0.0015622708446923,0.0006418228237017764,0.001599317568576954,0.001267811743237631,0.001453360931165628,0.001267681845493971,4.568121273317999e-08,0.672224454407925,0.0003002143336449645,6571.943161809001,0,ok
81,1,0.0015622708446923,0.0006418228237017768,0.001453360931165628,0.001267681845493971,0.001489292525986637,0.0006417578748299465,2.284060636659008e-08,0.6746526103246542,0.0001506493720381261,6595.681814230962,0,ok
82,1,0.001487419310992539,0.0006416499097395246,0.001451450890188926,0.001267571757891956,0.001306496122795898,0.0012505230929829,4.56717847293693e-08,0.6739880206965314,0.0003010097088501263,6590.714828285692,0,ok
83,1,0.001487419310992541,0.0006416499097395257,0.0013064961227959,0.001250523092982901,0.001414941927296027,0.0006331255772849976,2.283589236468473e-08,0.6760661545915876,0.0001509689119895111,6611.036239730297,0,ok
84,1,0.001413101141384635,0.0006328018999533683,0.001304626384999464,0.001250194324853456,0.001162633150085011,0.001216459121577912,4.566248279008041e-08,0.6757345758328328,0.000301797420052376,6609.308158730641,0,ok
85,1,0.001413101141384635,0.0006328018999533683,0.001162633150085011,0.001216459121577912,0.001342104523927408,0.0006159342983155963,2.283124139504023e-08,0.6774586213289211,0.0001512837077023327,6626.170915752173,0,ok
86,1,0.001340320631662844,0.0006154009109560278,0.001160828125839753,0.001215919415713796,0.001023715464111244,0.001165955352071392,4.565343279442076e-08,0.6774402589358126,0.0003025667047480921,6627.468872068439,0,ok
87,1,0.001340320631662845,0.0006154009109560278,0.001023715464111245,0.001165955352071392,0.00127176430079859,0.0005904188791348255,2.282671639721033e-08,0.6788109847130672,0.0001515894575811594,6640.878825641576,0,ok
88,1,0.001270060735531154,0.0005896844891253068,0.001021998154694255,0.001165215037095971,0.0008916185965556013,0.001099698924427596,4.564475726731537e-08,0.6790815943611243,0.000303306973382747,6644.946573085068,0,ok
89,1,0.001270060735531155,0.0005896844891253074,0.000891618596555602,0.001099698924427596,0.001204870956461828,0.0005569264327911197,2.282237863365771e-08,0.6801046585634248,0.0001518819588730324,6654.957456934035,0,ok
