tri_id,status_code,status_label,has_meniscus_geom,has_bottom_geom,Pin_W,Ponplane_W,att
0,0,ok,1,1,0.000223297,0.000149786,0.670792
1,0,ok,1,1,0.000223297,0.000149804,0.670874
2,0,ok,1,1,0.000223297,0.00014984,0.671036
3,0,ok,1,1,0.000223298,0.000149895,0.671277
4,0,ok,1,1,0.000223299,0.000149966,0.671593
5,0,ok,1,1,0.0002233,0.000150053,0.67198
6,0,ok,1,1,0.000223301,0.000150155,0.672433
7,0,ok,1,1,0.000223302,0.00015027,0.672946
8,0,ok,1,1,0.000223304,0.000150398,0.673512
9,0,ok,1,1,0.000223306,0.000150536,0.674124
10,0,ok,1,1,0.000223307,0.000150682,0.674773
11,0,ok,1,1,0.000223309,0.000150834,0.675451
12,0,ok,1,1,0.000223311,0.000150991,0.676149
13,0,ok,1,1,0.000223313,0.000151151,0.676856
14,0,ok,1,1,0.000223315,0.00015131,0.677565
15,0,ok,1,1,0.000223317,0.000151468,0.678265
16,0,ok,1,1,0.000223319,0.000151621,0.678947
17,0,ok,1,1,0.00022332,0.000151769,0.6796
18,0,ok,1,1,0.000223322,0.000151908,0.680218
19,0,ok,1,1,0.000223324,0.000152036,0.68079
20,0,ok,1,1,0.000223325,0.000152153,0.681309
21,0,ok,1,1,0.000223326,0.000152257,0.681768
22,0,ok,1,1,0.000223327,0.000152345,0.682161
23,0,ok,1,1,0.000223328,0.000152417,0.682482
24,0,ok,1,1,0.000223329,0.000152473,0.682727
25,0,ok,1,1,0.000223329,0.00015251,0.682892
26,0,ok,1,1,0.00022333,0.000152528,0.682975
27,0,ok,1,1,0.00022333,0.000152528,0.682975
28,0,ok,1,1,0.000223329,0.00015251,0.682892
29,0,ok,1,1,0.000223329,0.000152473,0.682727
30,0,ok,1,1,0.000223328,0.000152417,0.682482
31,0,ok,1,1,0.000223327,0.000152345,0.682161
32,0,ok,1,1,0.000223326,0.000152257,0.681768
33,0,ok,1,1,0.000223325,0.000152153,0.681309
34,0,ok,1,1,0.000223324,0.000152036,0.68079
35,0,ok,1,1,0.000223322,0.000151908,0.680218
36,0,ok,1,1,0.00022332,0.000151769,0.6796
37,0,ok,1,1,0.000223319,0.000151621,0.678947
38,0,ok,1,1,0.000223317,0.000151468,0.678265
39,0,ok,1,1,0.000223315,0.00015131,0.677565
40,0,ok,1,1,0.000223313,0.000151151,0.676856
41,0,ok,1,1,0.000223311,0.000150991,0.676149
42,0,ok,1,1,0.000223309,0.000150834,0.675451
43,0,ok,1,1,0.000223307,0.000150682,0.674773
44,0,ok,1,1,0.000223306,0.000150536,0.674124
45,0,ok,1,1,0.000223304,0.000150398,0.673512
46,0,ok,1,1,0.000223302,0.00015027,0.672946
47,0,ok,1,1,0.000223301,0.000150155,0.672433
48,0,ok,1,1,0.0002233,0.000150053,0.67198
49,0,ok,1,1,0.000223299,0.000149966,0.671593
50,0,ok,1,1,0.000223298,0.000149895,0.671277
51,0,ok,1,1,0.000223297,0.00014984,0.671036
52,0,ok,1,1,0.000223297,0.000149804,0.670874
53,0,ok,1,1,0.000223297,0.000149786,0.670792
54,0,ok,1,1,0.000446499,0.000293536,0.657417
55,0,ok,1,1,0.00022325,0.000147851,0.662269
56,0,ok,1,1,0.0004465,0.000293617,0.657597
57,0,ok,1,1,0.00022325,0.000147897,0.662471
58,0,ok,1,1,0.000446503,0.000293788,0.657976
59,0,ok,1,1,0.000223252,0.000147978,0.662831
60,0,ok,1,1,0.000446507,0.000294046,0.658548
61,0,ok,1,1,0.000223254,0.000148094,0.663345
62,0,ok,1,1,0.000446512,0.000294388,0.659306
63,0,ok,1,1,0.000223256,0.000148244,0.664007
64,0,ok,1,1,0.000446519,0.00029481,0.66024
65,0,ok,1,1,0.000223259,0.000148425,0.664808
66,0,ok,1,1,0.000446526,0.000295305,0.661339
67,0,ok,1,1,0.000223263,0.000148635,0.665737
68,0,ok,1,1,0.000446534,0.000295869,0.662589
69,0,ok,1,1,0.000223267,0.000148871,0.666783
70,0,ok,1,1,0.000446544,0.000296493,0.663972
71,0,ok,1,1,0.000223272,0.00014913,0.667932
72,0,ok,1,1,0.000446554,0.000297169,0.665472
73,0,ok,1,1,0.000223277,0.00014941,0.669169
74,0,ok,1,1,0.000446564,0.000297889,0.667069
75,0,ok,1,1,0.000223282,0.000149706,0.670477
76,0,ok,1,1,0.000446575,0.000298644,0.668742
77,0,ok,1,1,0.000223288,0.000150013,0.671839
78,0,ok,1,1,0.000446587,0.000299422,0.670468
79,0,ok,1,1,0.000223293,0.000150329,0.673237
80,0,ok,1,1,0.000446598,0.000300214,0.672224
81,0,ok,1,1,0.000223299,0.000150649,0.674653
82,0,ok,1,1,0.00044661,0.00030101,0.673988
83,0,ok,1,1,0.000223305,0.000150969,0.676066
84,0,ok,1,1,0.000446621,0.000301797,0.675735
85,0,ok,1,1,0.000223311,0.000151284,0.677459
86,0,ok,1,1,0.000446632,0.000302567,0.67744
87,0,ok,1,1,0.000223316,0.000151589,0.678811
88,0,ok,1,1,0.000446643,0.000303307,0.679082
89,0,ok,1,1,0.000223321,0.000151882,0.680105
90,0,ok,1,1,0.000446653,0.000304008,0.680636
91,0,ok,1,1,0.000223326,0.000152157,0.681322
92,0,ok,1,1,0.000446662,0.00030466,0.682081
93,0,ok,1,1,0.000223331,0.000152411,0.682445
94,0,ok,1,1,0.000446671,0.000305254,0.683398
95,0,ok,1,1,0.000223335,0.000152641,0.68346
96,0,ok,1,1,0.000446678,0.000305781,0.684566
97,0,ok,1,1,0.000223339,0.000152842,0.684351
98,0,ok,1,1,0.000446684,0.000306234,0.685571
99,0,ok,1,1,0.000223342,0.000153013,0.685106
100,0,ok,1,1,0.000446689,0.000306606,0.686397
101,0,ok,1,1,0.000223345,0.000153151,0.685715
102,0,ok,1,1,0.000446693,0.000306893,0.687032
103,0,ok,1,1,0.000223347,0.000153253,0.686168
104,0,ok,1,1,0.000446696,0.000307089,0.687468
105,0,ok,1,1,0.000223348,0.000153319,0.686459
106,0,ok,1,1,0.000446697,0.000307193,0.687698
107,0,ok,1,1,0.000223349,0.000153348,0.686585
108,0,ok,1,1,0.000446697,0.000307202,0.687719
109,0,ok,1,1,0.000223349,0.000153339,0.686544
110,0,ok,1,1,0.000446696,0.000307117,0.68753
111,0,ok,1,1,0.000223348,0.000153292,0.686335
112,0,ok,1,1,0.000446693,0.000306939,0.687135
113,0,ok,1,1,0.000223347,0.000153207,0.685962
114,0,ok,1,1,0.000446689,0.00030667,0.686539
115,0,ok,1,1,0.000223345,0.000153087,0.68543
116,0,ok,1,1,0.000446684,0.000306314,0.68575
117,0,ok,1,1,0.000223342,0.000152933,0.684748
118,0,ok,1,1,0.000446678,0.000305876,0.68478
119,0,ok,1,1,0.000223339,0.000152747,0.683923
120,0,ok,1,1,0.000446671,0.000305363,0.683643
121,0,ok,1,1,0.000223335,0.000152531,0.682969
122,0,ok,1,1,0.000446662,0.000304782,0.682355
123,0,ok,1,1,0.000223331,0.000152289,0.681898
124,0,ok,1,1,0.000446653,0.000304141,0.680933
125,0,ok,1,1,0.000223326,0.000152024,0.680726
126,0,ok,1,1,0.000446643,0.000303449,0.679399
127,0,ok,1,1,0.000223321,0.00015174,0.679469
128,0,ok,1,1,0.000446632,0.000302716,0.677774
129,0,ok,1,1,0.000223316,0.00015144,0.678144
130,0,ok,1,1,0.000446621,0.000301951,0.676079
131,0,ok,1,1,0.000223311,0.00015113,0.676769
132,0,ok,1,1,0.00044661,0.000301166,0.674338
133,0,ok,1,1,0.000223305,0.000150812,0.675364
134,0,ok,1,1,0.000446598,0.000300372,0.672576
